DISTANCE,CHANNEL,RSSI,PHASE
50.0,902.75,-46.0,3.8520030526427615
50.0,903.25,-45.5,3.6793030246438176
50.0,903.75,-45.5,3.5569854008138204
50.0,904.25,-45.5,3.4115116046883034
50.0,904.75,-46.0,3.252810114934587
50.0,905.25,-46.0,3.1144589230704094
50.0,905.75,-46.0,2.9674742714955173
50.0,906.25,-45.5,2.8284447363683545
50.0,906.75,-45.5,2.673134962929561
50.0,907.25,-45.5,2.5431088929292844
50.0,907.75,-46.0,2.4044801970029765
50.0,908.25,-46.0,2.2688732119754174
50.0,908.75,-45.5,2.0921339581832465
50.0,909.25,-45.5,1.9507302216356377
50.0,909.75,-45.5,1.8154624082395712
50.0,910.25,-46.0,1.6761862028349594
50.0,910.75,-46.497487437185924,1.5377425096167376
50.0,911.25,-46.0,1.3701917236595402
50.0,911.75,-45.997487437185924,1.23288888047452
50.0,912.25,-46.0,1.1004886090537973
50.0,912.75,-46.0,0.9667316511071056
50.0,913.25,-46.5,0.8250504104973666
50.0,913.75,-46.5,0.6789599386782275
50.0,914.25,-46.0,0.5423971063255539
50.0,914.75,-46.0,0.39387076551660666
50.0,915.25,-46.0,0.251017841088985
50.0,915.75,-46.5,0.11029244780436057
50.0,916.25,-46.5,-0.027657904858964244
50.0,916.75,-46.497487437185924,-0.18031597281518152
50.0,917.25,-46.0,-0.3387707922914487
50.0,917.75,-46.0,-0.4860637817131517
50.0,918.25,-46.0,-0.631167572422493
50.0,918.75,-46.5,-0.7790464037531368
50.0,919.25,-46.002512562814076,-0.9337086677136268
50.0,919.75,-46.0,-1.0674347918756375
50.0,920.25,-46.0,-1.204830136414702
50.0,920.75,-46.0,-1.354312324548765
50.0,921.25,-46.5,-1.4969185786989359
50.0,921.75,-46.502512562814076,-1.6217337390881053
50.0,922.25,-46.5,-1.7747926462451762
50.0,922.75,-46.0,-1.9227639789298632
50.0,923.25,-46.5,-2.073726188728619
50.0,923.75,-46.5,-2.2180899686056152
50.0,924.25,-47.0,-2.35604032126894
50.0,924.75,-46.5,-2.5178560232754488
50.0,925.25,-46.5,-2.6753241616419206
50.0,925.75,-46.5,-2.8298939242483665
50.0,926.25,-46.5,-2.9884104112939966
50.0,926.75,-47.0,-3.1569478783609903
50.0,927.25,-46.5,-3.3123501531538264
60.0,902.75,-48.0,0.2157748251984667
60.0,903.25,-48.0,0.07464859271298767
60.0,903.75,-48.5,-0.05454496510089957
60.0,904.25,-48.0,-0.22076989831680915
60.0,904.75,-47.5,-0.3689570674942617
60.0,905.25,-47.5,-0.5169900677483126
60.0,905.75,-48.0,-0.6780349251377942
60.0,906.25,-48.497487437185924,-0.8136727439500353
60.0,906.75,-48.0,-0.9961162479082128
60.0,907.25,-48.0,-1.1255256422148658
60.0,907.75,-47.502512562814076,-1.2644935097726657
60.0,908.25,-48.0,-1.4034305435457854
60.0,908.75,-48.5,-1.5457284598491476
60.0,909.25,-48.5,-1.685066332823122
60.0,909.75,-48.0,-1.829306777561393
60.0,910.25,-48.0,-1.9799914832980177
60.0,910.75,-48.0,-2.1219193941852073
60.0,911.25,-48.5,-2.2722032607209783
60.0,911.75,-48.5,-2.395939238646306
60.0,912.25,-48.5,-2.580109434546627
60.0,912.75,-48.002512562814076,-2.7172272750235598
60.0,913.25,-48.002512562814076,-2.881602181158603
60.0,913.75,-48.5,-3.0320710504024606
60.0,914.25,-49.0,-3.2111228380457155
60.0,914.75,-48.5,-3.3669567858240876
60.0,915.25,-48.0,-3.5211257092296795
60.0,915.75,-48.497487437185924,-3.646896716943962
60.0,916.25,-48.5,-3.797519755111225
60.0,916.75,-49.0,-3.9413593606486423
60.0,917.25,-48.5,-4.103051727516426
60.0,917.75,-48.5,-4.232183617760951
60.0,918.25,-48.5,-4.357214614642886
60.0,918.75,-48.5,-4.497847506573468
60.0,919.25,-49.0,-4.646096343320285
60.0,919.75,-49.0,-4.781271655362309
60.0,920.25,-49.0,-4.937413940987492
